id_inter;reference_type;citation;reference
50;bc;Alves et al. 2000;Alves, M. A. S., C. F. D. da Rocha, M. V. Sluys, and H. de G. Bergallo. 2000. Guilda de beija-flores polinizadores de quatro espécies de Bromeliaceae de Mata Atlântica da Ilha Grande, RJ, Brasil: composição e taxa de visitação. Pages 171–185 in M. A. S. Alves, J. M. C. Cardoso, M. V. Sluys, H. de G. Bergallo, and C. F. D. da Rocha, editors. A Ornitologia no Brasil: Pesquisa e Atual Perspectivas. EDUERJ, Rio de Janeiro.
51;bc;Alves et al. 2000;Alves, M. A. S., C. F. D. da Rocha, M. V. Sluys, and H. de G. Bergallo. 2000. Guilda de beija-flores polinizadores de quatro espécies de Bromeliaceae de Mata Atlântica da Ilha Grande, RJ, Brasil: composição e taxa de visitação. Pages 171–185 in M. A. S. Alves, J. M. C. Cardoso, M. V. Sluys, H. de G. Bergallo, and C. F. D. da Rocha, editors. A Ornitologia no Brasil: Pesquisa e Atual Perspectivas. EDUERJ, Rio de Janeiro.
52;bc;Alves et al. 2000;Alves, M. A. S., C. F. D. da Rocha, M. V. Sluys, and H. de G. Bergallo. 2000. Guilda de beija-flores polinizadores de quatro espécies de Bromeliaceae de Mata Atlântica da Ilha Grande, RJ, Brasil: composição e taxa de visitação. Pages 171–185 in M. A. S. Alves, J. M. C. Cardoso, M. V. Sluys, H. de G. Bergallo, and C. F. D. da Rocha, editors. A Ornitologia no Brasil: Pesquisa e Atual Perspectivas. EDUERJ, Rio de Janeiro.
53;bc;Alves et al. 2000;Alves, M. A. S., C. F. D. da Rocha, M. V. Sluys, and H. de G. Bergallo. 2000. Guilda de beija-flores polinizadores de quatro espécies de Bromeliaceae de Mata Atlântica da Ilha Grande, RJ, Brasil: composição e taxa de visitação. Pages 171–185 in M. A. S. Alves, J. M. C. Cardoso, M. V. Sluys, H. de G. Bergallo, and C. F. D. da Rocha, editors. A Ornitologia no Brasil: Pesquisa e Atual Perspectivas. EDUERJ, Rio de Janeiro.
54;bc;Alves et al. 2000;Alves, M. A. S., C. F. D. da Rocha, M. V. Sluys, and H. de G. Bergallo. 2000. Guilda de beija-flores polinizadores de quatro espécies de Bromeliaceae de Mata Atlântica da Ilha Grande, RJ, Brasil: composição e taxa de visitação. Pages 171–185 in M. A. S. Alves, J. M. C. Cardoso, M. V. Sluys, H. de G. Bergallo, and C. F. D. da Rocha, editors. A Ornitologia no Brasil: Pesquisa e Atual Perspectivas. EDUERJ, Rio de Janeiro.
55;bc;Alves et al. 2000;Alves, M. A. S., C. F. D. da Rocha, M. V. Sluys, and H. de G. Bergallo. 2000. Guilda de beija-flores polinizadores de quatro espécies de Bromeliaceae de Mata Atlântica da Ilha Grande, RJ, Brasil: composição e taxa de visitação. Pages 171–185 in M. A. S. Alves, J. M. C. Cardoso, M. V. Sluys, H. de G. Bergallo, and C. F. D. da Rocha, editors. A Ornitologia no Brasil: Pesquisa e Atual Perspectivas. EDUERJ, Rio de Janeiro.
56;bc;Alves et al. 2000;Alves, M. A. S., C. F. D. da Rocha, M. V. Sluys, and H. de G. Bergallo. 2000. Guilda de beija-flores polinizadores de quatro espécies de Bromeliaceae de Mata Atlântica da Ilha Grande, RJ, Brasil: composição e taxa de visitação. Pages 171–185 in M. A. S. Alves, J. M. C. Cardoso, M. V. Sluys, H. de G. Bergallo, and C. F. D. da Rocha, editors. A Ornitologia no Brasil: Pesquisa e Atual Perspectivas. EDUERJ, Rio de Janeiro.
57;bc;Alves et al. 2000;Alves, M. A. S., C. F. D. da Rocha, M. V. Sluys, and H. de G. Bergallo. 2000. Guilda de beija-flores polinizadores de quatro espécies de Bromeliaceae de Mata Atlântica da Ilha Grande, RJ, Brasil: composição e taxa de visitação. Pages 171–185 in M. A. S. Alves, J. M. C. Cardoso, M. V. Sluys, H. de G. Bergallo, and C. F. D. da Rocha, editors. A Ornitologia no Brasil: Pesquisa e Atual Perspectivas. EDUERJ, Rio de Janeiro.
58;bc;Alves et al. 2000;Alves, M. A. S., C. F. D. da Rocha, M. V. Sluys, and H. de G. Bergallo. 2000. Guilda de beija-flores polinizadores de quatro espécies de Bromeliaceae de Mata Atlântica da Ilha Grande, RJ, Brasil: composição e taxa de visitação. Pages 171–185 in M. A. S. Alves, J. M. C. Cardoso, M. V. Sluys, H. de G. Bergallo, and C. F. D. da Rocha, editors. A Ornitologia no Brasil: Pesquisa e Atual Perspectivas. EDUERJ, Rio de Janeiro.
59;bc;Alves et al. 2000;Alves, M. A. S., C. F. D. da Rocha, M. V. Sluys, and H. de G. Bergallo. 2000. Guilda de beija-flores polinizadores de quatro espécies de Bromeliaceae de Mata Atlântica da Ilha Grande, RJ, Brasil: composição e taxa de visitação. Pages 171–185 in M. A. S. Alves, J. M. C. Cardoso, M. V. Sluys, H. de G. Bergallo, and C. F. D. da Rocha, editors. A Ornitologia no Brasil: Pesquisa e Atual Perspectivas. EDUERJ, Rio de Janeiro.
60;a;Amorin et al. 2013;Amorim, F. W., L. Galetto, and M. Sazima. 2013. Beyond the pollination syndrome: Nectar ecology and the role of diurnal and nocturnal pollinators in the reproductive success of Inga sessilis (Fabaceae). Plant Biology 15:317–327.
61;a;Amorin et al. 2013;Amorim, F. W., L. Galetto, and M. Sazima. 2013. Beyond the pollination syndrome: Nectar ecology and the role of diurnal and nocturnal pollinators in the reproductive success of Inga sessilis (Fabaceae). Plant Biology 15:317–327.
62;a;Amorin et al. 2013;Amorim, F. W., L. Galetto, and M. Sazima. 2013. Beyond the pollination syndrome: Nectar ecology and the role of diurnal and nocturnal pollinators in the reproductive success of Inga sessilis (Fabaceae). Plant Biology 15:317–327.
63;a;Amorin et al. 2013;Amorim, F. W., L. Galetto, and M. Sazima. 2013. Beyond the pollination syndrome: Nectar ecology and the role of diurnal and nocturnal pollinators in the reproductive success of Inga sessilis (Fabaceae). Plant Biology 15:317–327.
64;a;Amorin et al. 2013;Amorim, F. W., L. Galetto, and M. Sazima. 2013. Beyond the pollination syndrome: Nectar ecology and the role of diurnal and nocturnal pollinators in the reproductive success of Inga sessilis (Fabaceae). Plant Biology 15:317–327.
65;a;Araújo et al. 1994;Araujo, A. C., E. A. Fischer, and M. Sazima. 1994. Floração sequencial e polinização de três espécies de Vriesea (Bromeliaceae) na região de Juréia, sudeste do Brasil. Revista Brasileira de Botânica 17:113–118.
66;a;Araújo et al. 1994;Araujo, A. C., E. A. Fischer, and M. Sazima. 1994. Floração sequencial e polinização de três espécies de Vriesea (Bromeliaceae) na região de Juréia, sudeste do Brasil. Revista Brasileira de Botânica 17:113–118.
67;a;Araújo et al. 1994;Araujo, A. C., E. A. Fischer, and M. Sazima. 1994. Floração sequencial e polinização de três espécies de Vriesea (Bromeliaceae) na região de Juréia, sudeste do Brasil. Revista Brasileira de Botânica 17:113–118.
68;a;Araújo et al. 1994;Araújo, A. C., E. A. Fischer, and M. Sazima. 1994. Floração sequencial e polinização de três espécies de Vriesea (Bromeliaceae) na região de Juréia, sudeste do Brasil. Revista Brasileira de Botânica 17:113–118.
69;a;Araújo et al. 1994;Araújo, A. C., E. A. Fischer, and M. Sazima. 1994. Floração sequencial e polinização de três espécies de Vriesea (Bromeliaceae) na região de Juréia, sudeste do Brasil. Revista Brasileira de Botânica 17:113–118.
70;a;Araújo et al. 1994;Araújo, A. C., E. A. Fischer, and M. Sazima. 1994. Floração sequencial e polinização de três espécies de Vriesea (Bromeliaceae) na região de Juréia, sudeste do Brasil. Revista Brasileira de Botânica 17:113–118.
71;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
72;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
73;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
74;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
75;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
76;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
77;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
78;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
79;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
80;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
81;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
82;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
83;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
84;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
85;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
86;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
87;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
88;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
89;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
90;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
91;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
92;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
93;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
94;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
95;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
96;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
97;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
98;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
99;bc;Araújo et al. 2004;Araújo, A., E. Fischer, and M. Sazima. 2004. As bromélias na região do Rio Verde. Pages 162–171 Estação Ecológica Juréia-Itatins: ambiente físico, flora e fauna. Holos Editora, Ribeirão Preto.
100;t;Araújo 1996;Araújo, A. C. de. 1996. Beija-flores e seus recursos florais numa área de planície costeira do litoral norte de São Paulo. Dissertação de Mestrado, Universidade Estadual de Campinas, São Paulo, Brasil.
101;t;Araújo 1996;Araújo, A. C. de. 1996. Beija-flores e seus recursos florais numa área de planície costeira do litoral norte de São Paulo. Dissertação de Mestrado, Universidade Estadual de Campinas, São Paulo, Brasil.
102;t;Araújo 1996;Araújo, A. C. de. 1996. Beija-flores e seus recursos florais numa área de planície costeira do litoral norte de São Paulo. Dissertação de Mestrado, Universidade Estadual de Campinas, São Paulo, Brasil.
103;t;Araújo 1996;Araújo, A. C. de. 1996. Beija-flores e seus recursos florais numa área de planície costeira do litoral norte de São Paulo. Dissertação de Mestrado, Universidade Estadual de Campinas, São Paulo, Brasil.
104;t;Araújo 1996;Araújo, A. C. de. 1996. Beija-flores e seus recursos florais numa área de planície costeira do litoral norte de São Paulo. Dissertação de Mestrado, Universidade Estadual de Campinas, São Paulo, Brasil.
105;t;Araújo 1996;Araújo, A. C. de. 1996. Beija-flores e seus recursos florais numa área de planície costeira do litoral norte de São Paulo. Dissertação de Mestrado, Universidade Estadual de Campinas, São Paulo, Brasil.
106;t;Araújo 1996;Araújo, A. C. de. 1996. Beija-flores e seus recursos florais numa área de planície costeira do litoral norte de São Paulo. Dissertação de Mestrado, Universidade Estadual de Campinas, São Paulo, Brasil.
107;t;Araújo 1996;Araújo, A. C. de. 1996. Beija-flores e seus recursos florais numa área de planície costeira do litoral norte de São Paulo. Dissertação de Mestrado, Universidade Estadual de Campinas, São Paulo, Brasil.
108;t;Araújo 1996;Araújo, A. C. de. 1996. Beija-flores e seus recursos florais numa área de planície costeira do litoral norte de São Paulo. Dissertação de Mestrado, Universidade Estadual de Campinas, São Paulo, Brasil.
109;t;Araújo 1996;Araújo, A. C. de. 1996. Beija-flores e seus recursos florais numa área de planície costeira do litoral norte de São Paulo. Dissertação de Mestrado, Universidade Estadual de Campinas, São Paulo, Brasil.
110;t;Araújo 1996;Araújo, A. C. de. 1996. Beija-flores e seus recursos florais numa área de planície costeira do litoral norte de São Paulo. Dissertação de Mestrado, Universidade Estadual de Campinas, São Paulo, Brasil.
111;t;Araújo 1996;Araújo, A. C. de. 1996. Beija-flores e seus recursos florais numa área de planície costeira do litoral norte de São Paulo. Dissertação de Mestrado, Universidade Estadual de Campinas, São Paulo, Brasil.
112;t;Araújo 1996;Araújo, A. C. de. 1996. Beija-flores e seus recursos florais numa área de planície costeira do litoral norte de São Paulo. Dissertação de Mestrado, Universidade Estadual de Campinas, São Paulo, Brasil.
113;t;Araújo 1996;Araújo, A. C. de. 1996. Beija-flores e seus recursos florais numa área de planície costeira do litoral norte de São Paulo. Dissertação de Mestrado, Universidade Estadual de Campinas, São Paulo, Brasil.
114;t;Araújo 1996;Araújo, A. C. de. 1996. Beija-flores e seus recursos florais numa área de planície costeira do litoral norte de São Paulo. Dissertação de Mestrado, Universidade Estadual de Campinas, São Paulo, Brasil.
